Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0096895,2012-04-16,2012-04-16,,Batman,https://www.imdb.com/title/tt0096895/,movie,7.6,126,1989,"Action, Adventure",311577,1989-06-19,Tim Burton
2,tt0103776,2012-04-16,2012-04-16,,Batman Returns,https://www.imdb.com/title/tt0103776/,movie,7,126,1992,"Action, Crime, Fantasy",251848,1992-06-16,Tim Burton
3,tt0112462,2012-04-16,2012-04-16,,Batman Forever,https://www.imdb.com/title/tt0112462/,movie,5.4,121,1995,"Action, Adventure, Fantasy",219339,1995-06-09,Joel Schumacher
4,tt0118688,2012-04-16,2012-04-16,,Batman & Robin,https://www.imdb.com/title/tt0118688/,movie,3.7,125,1997,"Action, Sci-Fi",217195,1997-06-12,Joel Schumacher
5,tt0314063,2012-04-16,2012-04-16,,Immortel (ad vitam),https://www.imdb.com/title/tt0314063/,movie,6,103,2004,"Animation, Action, Crime, Drama, Sci-Fi",19712,2004-03-13,Enki Bilal
6,tt0401792,2012-04-16,2012-04-16,,Sin City,https://www.imdb.com/title/tt0401792/,movie,8,124,2005,"Crime, Thriller",713833,2005-03-28,"Frank Miller, Quentin Tarantino, Robert Rodriguez"
7,tt0416449,2012-04-16,2012-04-16,,300,https://www.imdb.com/title/tt0416449/,movie,7.7,117,2006,"Action, Fantasy, War",689113,2006-12-09,Zack Snyder
8,tt0372784,2012-04-16,2012-04-16,,Batman Begins,https://www.imdb.com/title/tt0372784/,movie,8.2,140,2005,"Action, Adventure",1186556,2005-05-31,Christopher Nolan
9,tt0468569,2012-04-16,2012-04-16,,The Dark Knight,https://www.imdb.com/title/tt0468569/,movie,9,152,2008,"Action, Crime, Drama, Thriller",2051523,2008-07-14,Christopher Nolan
10,tt0450314,2012-04-16,2012-04-16,,Punisher: War Zone,https://www.imdb.com/title/tt0450314/,movie,6,103,2008,"Action, Adventure, Crime, Drama, Thriller",57092,2008-12-04,Lexi Alexander
11,tt0409459,2012-04-16,2012-04-16,,Watchmen,https://www.imdb.com/title/tt0409459/,movie,7.6,162,2009,"Action, Drama, Mystery, Sci-Fi",452548,2009-02-23,Zack Snyder
12,tt0446029,2012-04-16,2012-04-16,,Scott Pilgrim vs. the World,https://www.imdb.com/title/tt0446029/,movie,7.5,112,2010,"Action, Comedy, Fantasy, Romance",337334,2010-07-27,Edgar Wright
13,tt0480255,2012-04-16,2012-04-16,,The Losers,https://www.imdb.com/title/tt0480255/,movie,6.4,97,2010,"Action, Adventure, Crime, Mystery, Thriller",83524,2010-04-22,Sylvain White
14,tt0055526,2012-04-16,2012-04-16,,Tintin et le mystère de la Toison d'Or,https://www.imdb.com/title/tt0055526/,movie,6,104,1961,"Adventure, Drama",1137,1961-12-06,Jean-Jacques Vierne
15,tt0098141,2012-04-16,2012-04-16,,The Punisher,https://www.imdb.com/title/tt0098141/,movie,5.7,89,1989,"Action, Crime, Drama, Thriller",19848,1989-10-05,Mark Goldblatt
16,tt0831887,2012-04-16,2012-04-16,,The Spirit,https://www.imdb.com/title/tt0831887/,movie,4.8,103,2008,"Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller",57530,2008-12-25,Frank Miller
17,tt0120177,2012-04-16,2012-04-16,,Spawn,https://www.imdb.com/title/tt0120177/,movie,5.2,96,1997,"Action, Horror",59845,1997-07-31,Mark A.Z. Dippé
18,tt0111143,2012-04-16,2012-04-16,,The Shadow,https://www.imdb.com/title/tt0111143/,movie,6,108,1994,"Action, Adventure, Crime, Fantasy, Mystery, Thriller",21507,1994-07-01,Russell Mulcahy
19,tt0117331,2012-04-16,2012-04-16,,The Phantom,https://www.imdb.com/title/tt0117331/,movie,4.9,100,1996,"Action, Adventure, Comedy, Fantasy",30496,1996-06-07,Simon Wincer
